raw_data
Location,1999__Opioid Overdose Deaths,2000__Opioid Overdose Deaths,2001__Opioid Overdose Deaths,2002__Opioid Overdose Deaths,2003__Opioid Overdose Deaths,2004__Opioid Overdose Deaths,2005__Opioid Overdose Deaths,2006__Opioid Overdose Deaths,2007__Opioid Overdose Deaths,2008__Opioid Overdose Deaths,2009__Opioid Overdose Deaths,2010__Opioid Overdose Deaths,2011__Opioid Overdose Deaths,2012__Opioid Overdose Deaths,2013__Opioid Overdose Deaths,2014__Opioid Overdose Deaths,2015__Opioid Overdose Deaths,2016__Opioid Overdose Deaths,2017__Opioid Overdose Deaths,2018__Opioid Overdose Deaths,2019__Opioid Overdose Deaths,2020__Opioid Overdose Deaths,2021__Opioid Overdose Deaths
United States,8050,8407,9496,11913,12940,13756,14910,17541,18516,19582,20422,21089,22784,23157,25052,28647,33091,42249,47600,46802,49860,"68,630","80,411"
Alabama,37,43,57,71,49,83,80,124,165,185,206,187,176,165,166,270,282,343,422,381,414,611,981
Alaska,27,27,14,NSD,11,10,18,29,15,88,90,62,66,81,69,76,86,94,102,68,83,112,201
Arizona,229,235,265,320,340,344,375,459,461,494,605,626,562,526,527,589,671,769,928,1106,1290,1884,2000
Arkansas,28,20,30,90,89,127,123,140,148,197,201,189,169,169,162,173,203,169,188,208,198,284,386
California,1474,1012,551,1453,1398,1413,1372,1511,1657,1801,1987,1929,1938,1719,1948,2024,2018,2012,2199,2410,3235,5508,7181
Colorado,164,174,192,196,213,224,295,326,353,355,397,304,418,407,433,517,495,536,578,564,633,978,1289
Connecticut,151,165,149,172,167,193,163,224,244,230,216,223,209,201,439,525,685,855,955,948,1100,1250,1393
Delaware,32,29,36,48,37,35,29,37,45,65,81,103,113,82,113,124,133,154,250,355,387,407,450
District of Columbia,28,43,46,29,60,53,44,55,29,31,13,34,51,44,60,63,98,209,244,191,243,337,348
Florida,402,556,846,959,1043,1196,1097,1223,1473,1478,1590,1674,1576,1326,1268,1399,1838,2798,3245,3189,3771,5470,5940
Georgia,83,115,183,215,236,258,300,331,385,404,490,534,535,536,530,710,858,918,1014,866,862,1305,1799
Hawaii,30,29,38,46,43,57,67,54,78,53,57,74,77,62,69,59,62,77,53,59,55,74,91
Idaho,31,28,51,45,54,47,50,70,62,72,62,79,77,59,77,78,90,119,103,120,133,160,236
Illinois,483,558,525,569,460,532,590,870,691,846,886,867,907,1151,1072,1205,1381,1947,2202,2169,2219,2948,3050
Indiana,46,41,67,63,127,138,160,176,241,311,319,289,356,375,360,462,535,794,1176,1104,1254,1877,2206
Iowa,14,19,27,37,38,61,67,93,107,127,141,147,172,171,179,158,170,183,206,143,161,224,259
Kansas,25,22,47,80,75,116,106,120,117,96,148,104,118,171,158,173,150,146,144,156,184,262,435
Kentucky,52,92,144,177,234,221,285,331,343,365,434,591,669,673,665,729,885,989,1160,989,1036,1688,1897
Louisiana,28,52,81,95,121,144,172,194,212,130,122,123,116,169,265,260,287,346,415,444,558,945,1335
Maine,27,41,55,91,86,98,116,93,102,105,114,90,85,100,125,171,238,301,360,282,323,420,547
Maryland,487,481,489,543,558,486,495,565,600,513,586,509,546,657,749,921,1087,1821,1985,2087,2104,2504,2460
